house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,kma_wind_direction,kma_wind_speed,kma_temperature,kma_humidity,kma_solar_irradiance,kma_solar_time,kma_rain_per_hour,kma_snow_per_hour
,,,2025-03-01,00:00:08,4.8,77.4,,,,,,,,,,,,,5,1.5,6.4,68.0,,,0.0,0.0
,,,2025-03-01,00:05:06,4.7,77.4,,,,,,,,,,,,,5,1.46,6.48,67.74,,,0.0,0.0
,,,2025-03-01,00:10:05,4.6,77.4,,,,,,,,,,,,,5,1.42,6.54,67.56,,,0.0,0.0
,,,2025-03-01,00:15:03,4.6,77.4,,,,,,,,,,,,,4,1.37,6.57,67.45,,,0.0,0.0
,,,2025-03-01,00:20:02,4.5,77.3,,,,,,,,,,,,,4,1.33,6.59,67.42,,,0.0,0.0
,,,2025-03-01,00:25:00,4.4,77.6,,,,,,,,,,,,,4,1.28,6.59,67.45,,,0.0,0.0
,,,2025-03-01,00:30:09,4.4,77.5,,,,,,,,,,,,,4,1.23,6.57,67.53,,,0.0,0.0
,,,2025-03-01,00:35:07,4.2,76.8,,,,,,,,,,,,,3,1.17,6.54,67.68,,,0.0,0.0
,,,2025-03-01,00:40:05,4.1,77.0,,,,,,,,,,,,,3,1.12,6.49,67.87,,,0.0,0.0
,,,2025-03-01,00:45:04,4.0,77.4,,,,,,,,,,,,,3,1.07,6.44,68.1,,,0.0,0.0
,,,2025-03-01,00:50:02,4.0,77.5,,,,,,,,,,,,,2,1.01,6.37,68.37,,,0.0,0.0
,,,2025-03-01,00:55:00,3.9,77.5,,,,,,,,,,,,,2,0.96,6.29,68.67,,,0.0,0.0
,,,2025-03-01,01:00:09,3.8,77.1,,,,,,,,,,,,,2,0.9,6.2,69.0,,,0.0,0.0
,,,2025-03-01,01:05:08,3.8,76.9,,,,,,,,,,,,,2,0.83,6.11,69.35,,,0.0,0.0
,,,2025-03-01,01:10:06,3.6,76.9,,,,,,,,,,,,,2,0.75,6.01,69.71,,,0.0,0.0
,,,2025-03-01,01:15:04,3.4,76.9,,,,,,,,,,,,,2,0.65,5.9,70.09,,,0.0,0.0
,,,2025-03-01,01:20:03,3.3,77.2,,,,,,,,,,,,,1,0.55,5.79,70.47,,,0.0,0.0
,,,2025-03-01,01:25:01,3.2,77.4,,,,,,,,,,,,,1,0.44,5.69,70.84,,,0.0,0.0
,,,2025-03-01,01:30:10,3.2,77.0,,,,,,,,,,,,,1,0.33,5.58,71.22,,,0.0,0.0
,,,2025-03-01,01:35:08,3.2,77.4,,,,,,,,,,,,,1,0.23,5.47,71.58,,,0.0,0.0
,,,2025-03-01,01:40:06,3.0,77.1,,,,,,,,,,,,,1,0.14,5.36,71.92,,,0.0,0.0
,,,2025-03-01,01:45:05,3.1,76.9,,,,,,,,,,,,,0,0.07,5.26,72.24,,,0.0,0.0
,,,2025-03-01,01:50:03,2.9,77.1,,,,,,,,,,,,,0,0.02,5.17,72.53,,,0.0,0.0
,,,2025-03-01,01:55:01,2.9,77.1,,,,,,,,,,,,,0,-0.01,5.08,72.78,,,0.0,0.0
,,,2025-03-01,02:00:00,2.9,76.9,,,,,,,,,,,,,0,0.0,5.0,73.0,,,0.0,0.0
,,,2025-03-01,02:05:09,2.8,77.1,,,,,,,,,,,,,0,0.02,4.93,73.17,,,0.0,0.0
,,,2025-03-01,02:10:07,2.6,76.9,,,,,,,,,,,,,0,0.05,4.87,73.31,,,0.0,0.0
,,,2025-03-01,02:15:05,2.6,76.5,,,,,,,,,,,,,0,0.07,4.81,73.41,,,0.0,0.0
,,,2025-03-01,02:20:04,2.5,76.7,,,,,,,,,,,,,0,0.1,4.76,73.49,,,0.0,0.0
,,,2025-03-01,02:25:02,2.3,76.8,,,,,,,,,,,,,0,0.12,4.71,73.55,,,0.0,0.0
,,,2025-03-01,02:30:00,2.4,77.3,,,,,,,,,,,,,0,0.15,4.67,73.6,,,0.0,0.0
,,,2025-03-01,02:35:09,2.3,77.4,,,,,,,,,,,,,0,0.17,4.63,73.65,,,0.0,0.0
,,,2025-03-01,02:40:07,2.3,77.3,,,,,,,,,,,,,0,0.2,4.59,73.69,,,0.0,0.0
,,,2025-03-01,02:45:05,2.3,77.4,,,,,,,,,,,,,0,0.22,4.54,73.74,,,0.0,0.0
,,,2025-03-01,02:50:04,2.4,77.6,,,,,,,,,,,,,0,0.25,4.5,73.8,,,0.0,0.0
,,,2025-03-01,02:55:02,2.3,77.5,,,,,,,,,,,,,0,0.27,4.45,73.89,,,0.0,0.0
,,,2025-03-01,03:00:00,2.3,77.3,,,,,,,,,,,,,0,0.3,4.4,74.0,,,0.0,0.0
,,,2025-03-01,03:05:09,2.3,77.1,,,,,,,,,,,,,0,0.32,4.34,74.14,,,0.0,0.0
,,,2025-03-01,03:10:08,2.3,77.1,,,,,,,,,,,,,35,0.35,4.28,74.32,,,0.0,0.0
,,,2025-03-01,03:15:06,2.2,77.4,,,,,,,,,,,,,34,0.37,4.21,74.52,,,0.0,0.0
,,,2025-03-01,03:20:04,2.2,78.0,,,,,,,,,,,,,34,0.4,4.14,74.74,,,0.0,0.0
,,,2025-03-01,03:25:02,2.2,77.7,,,,,,,,,,,,,33,0.42,4.07,74.99,,,0.0,0.0
,,,2025-03-01,03:30:01,2.2,77.6,,,,,,,,,,,,,32,0.45,4.0,75.25,,,0.0,0.0
,,,2025-03-01,03:35:10,2.2,77.2,,,,,,,,,,,,,32,0.47,3.92,75.52,,,0.0,0.0
,,,2025-03-01,03:40:08,2.1,76.9,,,,,,,,,,,,,31,0.5,3.85,75.81,,,0.0,0.0
,,,2025-03-01,03:45:06,2.0,76.6,,,,,,,,,,,,,31,0.52,3.78,76.11,,,0.0,0.0
,,,2025-03-01,03:50:05,1.9,77.0,,,,,,,,,,,,,30,0.55,3.72,76.4,,,0.0,0.0
,,,2025-03-01,03:55:03,1.9,77.1,,,,,,,,,,,,,29,0.58,3.66,76.7,,,0.0,0.0
,,,2025-03-01,04:00:01,1.8,77.0,,,,,,,,,,,,,29,0.6,3.6,77.0,,,0.0,0.0
,,,2025-03-01,04:05:00,1.8,77.0,,,,,,,,,,,,,29,0.62,3.55,77.29,,,0.0,0.0
,,,2025-03-01,04:10:09,1.7,77.5,,,,,,,,,,,,,30,0.62,3.51,77.57,,,0.0,0.0
,,,2025-03-01,04:15:07,1.7,77.8,,,,,,,,,,,,,31,0.61,3.47,77.84,,,0.0,0.0
,,,2025-03-01,04:20:05,1.8,77.8,,,,,,,,,,,,,31,0.59,3.44,78.09,,,0.0,0.0
,,,2025-03-01,04:25:04,1.8,77.5,,,,,,,,,,,,,32,0.56,3.41,78.32,,,0.0,0.0
,,,2025-03-01,04:30:02,1.8,77.5,,,,,,,,,,,,,32,0.53,3.4,78.53,,,0.0,0.0
,,,2025-03-01,04:35:11,1.8,77.7,,,,,,,,,,,,,33,0.5,3.38,78.7,,,0.0,0.0
,,,2025-03-01,04:40:09,1.8,77.4,,,,,,,,,,,,,34,0.47,3.38,78.84,,,0.0,0.0
,,,2025-03-01,04:45:07,1.8,77.3,,,,,,,,,,,,,34,0.44,3.37,78.95,,,0.0,0.0
,,,2025-03-01,04:50:06,1.7,77.1,,,,,,,,,,,,,35,0.42,3.38,79.01,,,0.0,0.0
,,,2025-03-01,04:55:04,1.7,77.2,,,,,,,,,,,,,0,0.4,3.39,79.03,,,0.0,0.0
,,,2025-03-01,05:00:02,1.7,77.4,,,,,,,,,,,,,0,0.4,3.4,79.0,,,0.0,0.0
,,,2025-03-01,05:05:00,1.6,77.6,,,,,,,,,,,,,0,0.41,3.42,78.92,,,0.0,0.0
,,,2025-03-01,05:10:09,1.6,77.7,,,,,,,,,,,,,1,0.45,3.44,78.79,,,0.0,0.0
,,,2025-03-01,05:15:08,1.7,77.9,,,,,,,,,,,,,1,0.5,3.47,78.63,,,0.0,0.0
,,,2025-03-01,05:20:06,1.7,78.0,,,,,,,,,,,,,2,0.56,3.5,78.44,,,0.0,0.0
,,,2025-03-01,05:25:04,1.8,78.4,,,,,,,,,,,,,2,0.63,3.53,78.23,,,0.0,0.0
,,,2025-03-01,05:30:03,1.9,78.4,,,,,,,,,,,,,2,0.7,3.56,78.01,,,0.0,0.0
,,,2025-03-01,05:35:01,1.9,78.0,,,,,,,,,,,,,3,0.77,3.59,77.8,,,0.0,0.0
,,,2025-03-01,05:40:10,1.9,77.6,,,,,,,,,,,,,3,0.84,3.62,77.59,,,0.0,0.0
,,,2025-03-01,05:45:08,1.8,77.6,,,,,,,,,,,,,4,0.9,3.64,77.39,,,0.0,0.0
,,,2025-03-01,05:50:06,1.8,77.8,,,,,,,,,,,,,4,0.95,3.67,77.23,,,0.0,0.0
,,,2025-03-01,05:55:05,1.8,77.7,,,,,,,,,,,,,5,0.99,3.69,77.09,,,0.0,0.0
,,,2025-03-01,06:00:00,1.7,77.7,,,,,,,,,,,,,5,1.0,3.7,77.0,,,0.0,0.0
,,,2025-03-01,06:05:01,1.6,77.6,,,,,,,,,,,,,5,0.99,3.71,76.96,,,0.0,0.0
,,,2025-03-01,06:10:10,1.6,77.7,,,,,,,,,,,,,4,0.96,3.71,76.96,,,0.0,0.0
,,,2025-03-01,06:15:08,1.6,78.0,,,,,,,,,,,,,4,0.91,3.71,77.0,,,0.0,0.0
,,,2025-03-01,06:20:07,1.5,78.0,,,,,,,,,,,,,3,0.85,3.7,77.07,,,0.0,0.0
,,,2025-03-01,06:25:05,1.5,77.9,,,,,,,,,,,,,3,0.78,3.68,77.17,,,0.0,0.0
,,,2025-03-01,06:30:03,1.5,78.2,,,,,,,,,,,,,2,0.7,3.66,77.29,,,0.0,0.0
,,,2025-03-01,06:35:02,1.6,78.3,,,,,,,,,,,,,2,0.63,3.63,77.42,,,0.0,0.0
,,,2025-03-01,06:40:00,1.7,78.2,,,,,,,,,,,,,2,0.56,3.6,77.55,,,0.0,0.0
,,,2025-03-01,06:45:09,1.7,78.1,,,,,,,,,,,,,1,0.5,3.56,77.68,,,0.0,0.0
,,,2025-03-01,06:50:07,1.7,78.1,,,,,,,,,,,,,1,0.45,3.51,77.8,,,0.0,0.0
,,,2025-03-01,06:55:05,1.6,77.9,,,,,,,,,,,,,0,0.41,3.46,77.91,,,0.0,0.0
,,,2025-03-01,07:00:04,1.7,78.0,,,,,,,,,,,,,0,0.4,3.4,78.0,,,0.0,0.0
,,,2025-03-01,07:05:02,1.6,78.1,,,,,,,,,,,,,0,0.4,3.33,78.06,,,0.0,0.0
,,,2025-03-01,07:10:00,1.7,77.9,,,,,,,,,,,,,0,0.41,3.27,78.09,,,0.0,0.0
,,,2025-03-01,07:15:09,1.7,77.3,,,,,,,,,,,,,0,0.42,3.19,78.1,,,0.0,0.0
,,,2025-03-01,07:20:08,1.8,77.3,,,,,,,,,,,,,35,0.43,3.13,78.08,,,0.0,0.0
,,,2025-03-01,07:25:06,1.9,77.0,,,,,,,,,,,,,35,0.45,3.06,78.03,,,0.0,0.0
,,,2025-03-01,07:30:04,2.1,77.0,,,,,,,,,,,,,35,0.47,3.01,77.96,,,0.0,0.0
,,,2025-03-01,07:35:02,2.3,76.5,,,,,,,,,,,,,35,0.5,2.96,77.86,,,0.0,0.0
,,,2025-03-01,07:40:01,2.7,76.6,,,,,,,,,,,,,35,0.53,2.93,77.74,,,0.0,0.0
,,,2025-03-01,07:45:10,3.1,76.3,,,,,,,,,,,,,34,0.57,2.92,77.59,,,0.0,0.0
,,,2025-03-01,07:50:08,3.4,75.8,,,,,,,,,,,,,34,0.61,2.92,77.42,,,0.0,0.0
,,,2025-03-01,07:55:06,3.8,75.2,,,,,,,,,,,,,34,0.65,2.95,77.22,,,0.0,0.0
,,,2025-03-01,08:00:05,4.1,75.2,,,,,,,,,,,,,34,0.7,3.0,77.0,,0.0,0.0,0.0
,,,2025-03-01,08:05:03,4.4,74.4,,,,,,,,,,,,,34,0.76,3.08,76.76,,0.1,0.0,0.0
,,,2025-03-01,08:10:01,5.0,74.1,,,,,,,,,,,,,35,0.82,3.18,76.49,0.14,0.2,0.0,0.0
,,,2025-03-01,08:15:00,5.7,72.9,,,,,,,,,,,,,0,0.9,3.31,76.19,0.18,0.29,0.0,0.0
,,,2025-03-01,08:20:08,6.5,71.2,,,,,,,,,,,,,0,0.98,3.45,75.87,0.22,0.38,0.0,0.0
,,,2025-03-01,08:25:07,7.3,69.4,,,,,,,,,,,,,1,1.06,3.61,75.51,0.27,0.46,0.0,0.0
,,,2025-03-01,08:30:05,8.0,68.1,,,,,,,,,,,,,2,1.14,3.78,75.13,0.31,0.54,0.0,0.0
,,,2025-03-01,08:35:03,8.8,66.4,,,,,,,,,,,,,2,1.23,3.96,74.7,0.35,0.6,0.0,0.0
,,,2025-03-01,08:40:02,10.0,65.1,,,,,,,,,,,,,3,1.31,4.15,74.24,0.4,0.65,0.0,0.0
,,,2025-03-01,08:45:00,11.1,65.3,,,,,,,,,,,,,3,1.39,4.34,73.74,0.44,0.69,0.0,0.0
,,,2025-03-01,08:50:09,12.0,62.8,,,,,,,,,,,,,4,1.47,4.53,73.21,0.48,0.71,0.0,0.0
,,,2025-03-01,08:55:07,12.8,63.0,,,,,,,,,,,,,5,1.54,4.72,72.63,0.53,0.71,0.0,0.0
,,,2025-03-01,09:00:05,13.5,61.4,,,,,,,,,,,,,5,1.6,4.9,72.0,0.57,0.7,0.0,0.0
,,,2025-03-01,09:05:03,14.1,59.7,,,,,,,,,,,,,5,1.65,5.07,71.33,0.62,0.68,0.0,0.0
,,,2025-03-01,09:10:02,15.2,59.3,,,,,,,,,,,,,5,1.69,5.24,70.63,0.67,0.65,0.0,0.0
,,,2025-03-01,09:15:00,15.7,59.9,,,,,,,,,,,,,5,1.73,5.4,69.9,0.73,0.62,0.0,0.0
,,,2025-03-01,09:20:09,16.6,59.4,,,,,,,,,,,,,5,1.75,5.55,69.15,0.79,0.6,0.0,0.0
,,,2025-03-01,09:25:07,17.1,58.9,,,,,,,,,,,,,5,1.77,5.7,68.4,0.86,0.58,0.0,0.0
,,,2025-03-01,09:30:06,17.8,58.0,,,,,,,,,,,,,5,1.78,5.84,67.67,0.92,0.55,0.0,0.0
,,,2025-03-01,09:35:04,18.5,56.0,,,,,,,,,,,,,5,1.78,5.97,66.94,0.99,0.52,0.0,0.0
,,,2025-03-01,09:40:02,19.7,54.5,,,,,,,,,,,,,5,1.78,6.1,66.25,1.05,0.5,0.0,0.0
,,,2025-03-01,09:45:00,20.7,52.2,,,,,,,,,,,,,5,1.77,6.23,65.6,1.1,0.48,0.0,0.0
,,,2025-03-01,09:50:10,21.2,51.9,,,,,,,,,,,,,5,1.75,6.36,65.0,1.15,0.45,0.0,0.0
,,,2025-03-01,09:55:08,21.7,52.2,,,,,,,,,,,,,5,1.73,6.48,64.47,1.19,0.43,0.0,0.0
,,,2025-03-01,10:00:06,22.0,52.0,,,,,,,,,,,,,5,1.7,6.6,64.0,1.22,0.4,0.0,0.0
,,,2025-03-01,10:05:05,22.5,50.9,,,,,,,,,,,,,5,1.64,6.72,63.61,1.23,0.38,0.0,0.0
,,,2025-03-01,10:10:03,22.7,50.6,,,,,,,,,,,,,4,1.55,6.84,63.3,1.22,0.35,0.0,0.0
,,,2025-03-01,10:15:01,22.1,51.5,,,,,,,,,,,,,4,1.43,6.96,63.05,1.19,0.32,0.0,0.0
,,,2025-03-01,10:20:10,21.3,52.2,,,,,,,,,,,,,3,1.28,7.08,62.86,1.14,0.3,0.01,0.0
,,,2025-03-01,10:25:08,20.3,55.0,,,,,,,,,,,,,3,1.12,7.19,62.71,1.08,0.27,0.01,0.0
,,,2025-03-01,10:30:07,19.4,57.6,,,,,,,,,,,,,2,0.95,7.3,62.59,1.01,0.25,0.01,0.0
,,,2025-03-01,10:35:05,18.6,59.6,,,,,,,,,,,,,2,0.79,7.41,62.49,0.94,0.22,0.01,0.0
,,,2025-03-01,10:40:03,17.9,61.3,,,,,,,,,,,,,2,0.63,7.52,62.41,0.87,0.2,0.02,0.0
,,,2025-03-01,10:45:01,17.3,62.8,,,,,,,,,,,,,1,0.5,7.62,62.33,0.81,0.17,0.02,0.0
,,,2025-03-01,10:50:00,16.9,63.9,,,,,,,,,,,,,1,0.39,7.72,62.24,0.75,0.15,0.03,0.0
,,,2025-03-01,10:55:08,16.5,63.7,,,,,,,,,,,,,0,0.33,7.81,62.13,0.71,0.12,0.03,0.0
,,,2025-03-01,11:00:07,16.1,64.5,,,,,,,,,,,,,0,0.3,7.9,62.0,0.68,0.1,0.04,0.0
,,,2025-03-01,11:05:05,16.0,64.7,,,,,,,,,,,,,35,0.31,7.98,61.83,0.66,0.08,0.04,0.0
,,,2025-03-01,11:10:03,16.2,64.6,,,,,,,,,,,,,35,0.32,8.06,61.63,0.64,0.06,0.05,0.0
,,,2025-03-01,11:15:01,16.5,62.9,,,,,,,,,,,,,34,0.35,8.14,61.42,0.63,0.04,0.05,0.0
,,,2025-03-01,11:20:00,17.0,61.6,,,,,,,,,,,,,33,0.38,8.2,61.19,0.61,0.03,0.06,0.0
,,,2025-03-01,11:25:09,17.6,59.9,,,,,,,,,,,,,32,0.41,8.27,60.96,0.59,0.02,0.06,0.0
,,,2025-03-01,11:30:07,18.0,58.2,,,,,,,,,,,,,30,0.45,8.33,60.73,0.57,0.01,0.07,0.0
,,,2025-03-01,11:35:05,18.5,57.9,,,,,,,,,,,,,29,0.48,8.38,60.52,0.56,0.01,0.08,0.0
,,,2025-03-01,11:40:04,19.1,56.4,,,,,,,,,,,,,28,0.52,8.44,60.33,0.54,0.0,0.08,0.0
,,,2025-03-01,11:45:02,19.3,56.4,,,,,,,,,,,,,27,0.55,8.48,60.18,0.53,0.0,0.09,0.0
,,,2025-03-01,11:50:00,19.4,56.4,,,,,,,,,,,,,26,0.57,8.53,60.07,0.52,0.0,0.09,0.0
,,,2025-03-01,11:55:09,19.5,56.7,,,,,,,,,,,,,26,0.59,8.56,60.0,0.51,0.0,0.1,0.0
,,,2025-03-01,12:00:07,19.4,57.1,,,,,,,,,,,,,25,0.6,8.6,60.0,0.5,0.0,0.1,0.0
,,,2025-03-01,12:05:06,19.3,57.9,,,,,,,,,,,,,25,0.6,8.63,60.06,0.49,0.0,0.1,0.0
,,,2025-03-01,12:10:04,19.2,58.1,,,,,,,,,,,,,25,0.61,8.66,60.19,0.49,0.0,0.11,0.0
,,,2025-03-01,12:15:02,19.2,58.8,,,,,,,,,,,,,25,0.61,8.68,60.37,0.49,0.0,0.11,0.0
,,,2025-03-01,12:20:01,18.9,59.5,,,,,,,,,,,,,26,0.61,8.7,60.61,0.48,0.0,0.12,0.0
,,,2025-03-01,12:25:10,18.6,60.3,,,,,,,,,,,,,26,0.62,8.72,60.9,0.48,0.0,0.12,0.0
,,,2025-03-01,12:30:18,18.1,61.4,,,,,,,,,,,,,26,0.62,8.73,61.24,0.48,0.0,0.12,0.0
,,,2025-03-01,12:35:06,17.9,61.9,,,,,,,,,,,,,26,0.62,8.74,61.62,0.48,0.0,0.13,0.0
,,,2025-03-01,12:40:04,17.8,62.3,,,,,,,,,,,,,26,0.62,8.74,62.04,0.47,0.0,0.13,0.0
,,,2025-03-01,12:45:03,17.7,62.3,,,,,,,,,,,,,27,0.62,8.74,62.49,0.47,0.0,0.14,0.0
,,,2025-03-01,12:50:01,17.5,62.2,,,,,,,,,,,,,27,0.61,8.73,62.97,0.47,0.0,0.14,0.0
,,,2025-03-01,12:55:10,17.6,62.5,,,,,,,,,,,,,27,0.61,8.72,63.47,0.46,0.0,0.14,0.0
,,,2025-03-01,13:00:08,17.3,63.0,,,,,,,,,,,,,27,0.6,8.7,64.0,0.45,0.0,0.15,0.0
,,,2025-03-01,13:05:06,17.2,63.4,,,,,,,,,,,,,28,0.59,8.68,64.54,0.44,0.0,0.16,0.0
,,,2025-03-01,13:10:05,17.3,62.8,,,,,,,,,,,,,28,0.57,8.65,65.1,0.43,0.0,0.16,0.0
,,,2025-03-01,13:15:03,17.1,63.4,,,,,,,,,,,,,29,0.54,8.62,65.67,0.41,0.0,0.17,0.0
,,,2025-03-01,13:20:01,17.0,63.6,,,,,,,,,,,,,30,0.52,8.58,66.26,0.39,0.0,0.18,0.0
,,,2025-03-01,13:25:10,17.1,64.0,,,,,,,,,,,,,31,0.49,8.54,66.84,0.37,0.0,0.19,0.0
,,,2025-03-01,13:30:08,17.0,64.1,,,,,,,,,,,,,32,0.45,8.5,67.44,0.36,0.0,0.2,0.0
,,,2025-03-01,13:35:06,16.8,64.3,,,,,,,,,,,,,32,0.42,8.47,68.04,0.34,0.0,0.21,0.0
,,,2025-03-01,13:40:05,16.6,65.0,,,,,,,,,,,,,33,0.39,8.43,68.64,0.32,0.0,0.22,0.0
,,,2025-03-01,13:45:03,16.3,65.7,,,,,,,,,,,,,34,0.36,8.39,69.24,0.3,0.0,0.23,0.0
,,,2025-03-01,13:50:01,15.9,66.5,,,,,,,,,,,,,35,0.33,8.36,69.83,0.29,0.0,0.24,0.0
,,,2025-03-01,13:55:00,15.6,66.9,,,,,,,,,,,,,35,0.31,8.33,70.42,0.27,0.0,0.24,0.0
,,,2025-03-01,14:00:09,15.5,67.4,,,,,,,,,,,,,0,0.3,8.3,71.0,0.26,0.0,0.25,0.0
,,,2025-03-01,14:05:07,15.4,66.9,,,,,,,,,,,,,0,0.3,8.28,71.57,0.25,0.0,0.26,0.0
,,,2025-03-01,14:10:05,15.4,67.1,,,,,,,,,,,,,0,0.31,8.26,72.13,0.24,0.0,0.26,0.0
,,,2025-03-01,14:15:04,15.4,67.3,,,,,,,,,,,,,1,0.33,8.25,72.68,0.23,0.0,0.27,0.0
,,,2025-03-01,14:20:02,15.3,67.7,,,,,,,,,,,,,2,0.36,8.24,73.22,0.23,0.0,0.27,0.0
,,,2025-03-01,14:25:00,15.3,67.9,,,,,,,,,,,,,4,0.4,8.24,73.74,0.22,0.0,0.28,0.0
,,,2025-03-01,14:30:09,15.1,68.1,,,,,,,,,,,,,8,0.44,8.24,74.25,0.22,0.0,0.28,0.0
,,,2025-03-01,14:35:08,15.0,68.3,,,,,,,,,,,,,12,0.48,8.24,74.75,0.21,0.0,0.29,0.0
,,,2025-03-01,14:40:06,14.9,68.9,,,,,,,,,,,,,14,0.52,8.25,75.23,0.21,0.0,0.29,0.0
,,,2025-03-01,14:45:04,14.9,69.2,,,,,,,,,,,,,15,0.55,8.26,75.7,0.21,0.0,0.3,0.0
,,,2025-03-01,14:50:02,14.8,69.1,,,,,,,,,,,,,16,0.58,8.27,76.15,0.21,0.0,0.3,0.0
,,,2025-03-01,14:55:01,14.7,69.5,,,,,,,,,,,,,16,0.6,8.28,76.58,0.21,0.0,0.3,0.0
,,,2025-03-01,15:00:10,14.8,69.3,,,,,,,,,,,,,16,0.6,8.3,77.0,0.21,0.0,0.3,0.0
,,,2025-03-01,15:05:08,15.1,68.2,,,,,,,,,,,,,16,0.59,8.32,77.4,0.21,0.0,0.3,0.0
,,,2025-03-01,15:10:06,15.2,67.9,,,,,,,,,,,,,16,0.56,8.34,77.78,0.22,0.0,0.3,0.0
,,,2025-03-01,15:15:04,15.3,67.7,,,,,,,,,,,,,15,0.53,8.36,78.15,0.23,0.0,0.29,0.0
,,,2025-03-01,15:20:03,15.4,67.3,,,,,,,,,,,,,14,0.48,8.39,78.5,0.24,0.0,0.29,0.0
,,,2025-03-01,15:25:01,15.7,67.0,,,,,,,,,,,,,12,0.44,8.41,78.85,0.26,0.0,0.29,0.0
,,,2025-03-01,15:30:10,15.7,66.8,,,,,,,,,,,,,8,0.39,8.44,79.18,0.27,0.0,0.28,0.0
,,,2025-03-01,15:35:08,15.8,66.5,,,,,,,,,,,,,4,0.34,8.47,79.5,0.29,0.0,0.28,0.0
,,,2025-03-01,15:40:07,15.9,66.4,,,,,,,,,,,,,2,0.29,8.49,79.81,0.3,0.0,0.27,0.0
,,,2025-03-01,15:45:05,15.9,66.5,,,,,,,,,,,,,1,0.25,8.52,80.11,0.31,0.0,0.26,0.0
,,,2025-03-01,15:50:03,15.8,67.0,,,,,,,,,,,,,0,0.22,8.55,80.41,0.32,0.0,0.26,0.0
,,,2025-03-01,15:55:01,15.7,67.3,,,,,,,,,,,,,0,0.2,8.57,80.71,0.32,0.0,0.25,0.0
,,,2025-03-01,16:00:00,15.7,67.5,,,,,,,,,,,,,0,0.2,8.6,81.0,0.32,0.0,0.25,0.0
,,,2025-03-01,16:05:09,15.6,67.7,,,,,,,,,,,,,0,0.21,8.63,81.29,0.32,0.0,0.25,0.0
,,,2025-03-01,16:10:07,15.3,68.3,,,,,,,,,,,,,0,0.21,8.65,81.58,0.31,0.0,0.24,0.0
,,,2025-03-01,16:15:05,15.1,68.9,,,,,,,,,,,,,0,0.22,8.67,81.86,0.3,0.0,0.24,0.0
,,,2025-03-01,16:20:04,15.0,69.0,,,,,,,,,,,,,0,0.24,8.7,82.14,0.29,0.0,0.23,0.0
,,,2025-03-01,16:25:02,15.0,69.4,,,,,,,,,,,,,0,0.25,8.72,82.41,0.29,0.0,0.22,0.0
,,,2025-03-01,16:30:00,15.0,69.3,,,,,,,,,,,,,0,0.27,8.74,82.67,0.27,0.0,0.22,0.0
,,,2025-03-01,16:35:09,15.1,69.2,,,,,,,,,,,,,0,0.28,8.75,82.92,0.26,0.0,0.21,0.0
,,,2025-03-01,16:40:08,14.9,69.5,,,,,,,,,,,,,0,0.3,8.77,83.16,0.25,0.0,0.21,0.0
,,,2025-03-01,16:45:06,14.8,70.2,,,,,,,,,,,,,0,0.32,8.78,83.39,0.24,0.0,0.21,0.0
,,,2025-03-01,16:50:04,14.6,70.7,,,,,,,,,,,,,0,0.35,8.79,83.61,0.23,0.0,0.2,0.0
,,,2025-03-01,16:55:02,14.5,71.0,,,,,,,,,,,,,0,0.37,8.8,83.81,0.21,0.0,0.2,0.0
,,,2025-03-01,17:00:01,14.3,71.2,,,,,,,,,,,,,0,0.4,8.8,84.0,0.2,0.0,0.2,0.0
,,,2025-03-01,17:05:10,13.9,72.2,,,,,,,,,,,,,0,0.43,8.8,84.17,0.18,0.0,0.21,0.0
,,,2025-03-01,17:10:08,13.7,72.7,,,,,,,,,,,,,35,0.46,8.8,84.33,0.17,0.0,0.22,0.0
,,,2025-03-01,17:15:06,13.5,73.4,,,,,,,,,,,,,34,0.5,8.79,84.47,0.15,0.0,0.25,0.0
,,,2025-03-01,17:20:05,13.2,73.9,,,,,,,,,,,,,34,0.53,8.78,84.62,0.12,0.0,0.28,0.0
,,,2025-03-01,17:25:03,12.9,74.5,,,,,,,,,,,,,33,0.57,8.77,84.75,0.1,0.0,0.32,0.0
,,,2025-03-01,17:30:01,12.7,75.3,,,,,,,,,,,,,32,0.61,8.76,84.9,0.08,0.0,0.36,0.0
,,,2025-03-01,17:35:00,12.5,75.0,,,,,,,,,,,,,32,0.65,8.74,85.04,0.06,0.0,0.4,0.0
,,,2025-03-01,17:40:08,12.4,75.6,,,,,,,,,,,,,31,0.68,8.72,85.2,0.04,0.0,0.44,0.0
,,,2025-03-01,17:45:07,12.3,75.9,,,,,,,,,,,,,31,0.72,8.69,85.37,0.02,0.0,0.47,0.0
,,,2025-03-01,17:50:05,12.2,76.5,,,,,,,,,,,,,30,0.75,8.67,85.56,0.01,0.0,0.51,0.0
,,,2025-03-01,17:55:03,11.9,76.7,,,,,,,,,,,,,29,0.78,8.63,85.77,0.0,0.0,0.53,0.0
,,,2025-03-01,18:00:01,11.7,77.2,,,,,,,,,,,,,29,0.8,8.6,86.0,0.0,0.0,0.55,0.0
